Entered City,Entered State,City,State,County,County with Suffix
Juneau,Alaska,Juneau,Alaska,,
Phoenix,Arizona,Phoenix,Arizona,Maricopa,Maricopa County
Little Rock,Arkansas,Little Rock,Arkansas,Pulaski,Pulaski County
Los Angeles,California,Los Angeles,California,Los Angeles,Los Angeles County
Denver,Colorado,Denver,Colorado,,
Bridgeport,Connecticut,Bridgeport,Connecticut,Greater Bridgeport Planning Region,Greater Bridgeport Planning Region
Wilmington,Delaware,Wilmington,Delaware,New Castle,New Castle County
Miami,Florida,Miami,Florida,Miami-Dade,Miami-Dade County
Atlanta,Georgia,Atlanta,Georgia,Fulton,Fulton County
Honolulu,Hawaii,Honolulu,Hawaii,Honolulu,Honolulu County
Boise,Idaho,Boise,Idaho,Ada,Ada County
Chicago,Illinois,Chicago,Illinois,Cook,Cook County
Indianapolis,Indiana,Indianapolis,Indiana,Marion,Marion County
Davenport,Iowa,Davenport,Iowa,Scott,Scott County
Overland Park,Kansas,Overland Park,Kansas,Johnson,Johnson County
Louisville,Kentucky,Louisville,Kentucky,Jefferson,Jefferson County
New Orleans,Louisiana,New Orleans,Louisiana,Orleans Parish,Orleans Parish
Portland,Maine,Portland,Maine,Cumberland,Cumberland County
Baltimore,Maryland,Baltimore,Maryland,,
Boston,Massachusetts,Boston,Massachusetts,Suffolk,Suffolk County
Detroit,Michigan,Detroit,Michigan,Wayne,Wayne County
Mpls/St Paul,Minnesota,Minneapolis,Minnesota,Hennepin,Hennepin County
Jackson,Mississippi,Jackson,Mississippi,Hinds,Hinds County
Kansas City,Missouri,Kansas City,Missouri,Jackson,Jackson County
Billings,Montana,Billings,Montana,Yellowstone,Yellowstone County
Omaha,Nebraska,Omaha,Nebraska,Douglas,Douglas County
Las Vegas,Nevada,Las Vegas,Nevada,Clark,Clark County
Manchester,New Hampshire,Manchester,New Hampshire,Hillsborough,Hillsborough County
Trenton,New Jersey,Trenton,New Jersey,Mercer,Mercer County
Albuquerque,New Mexico,Albuquerque,New Mexico,Bernalillo,Bernalillo County
New York City,New York,New York,New York,,
Greensboro,North Carolina,Greensboro,North Carolina,Guilford,Guilford County
Fargo,North Dakota,Fargo,North Dakota,Cass,Cass County
Columbus,Ohio,Columbus,Ohio,Franklin,Franklin County
Oklahoma City,Oklahoma,Oklahoma City,Oklahoma,Oklahoma,Oklahoma County
Portland,Oregon,Portland,Oregon,Multnomah,Multnomah County
Philadelphia,Pennsylvania,Philadelphia,Pennsylvania,Philadelphia,Philadelphia County
San Juan,Puerto Rico,San Juan,Puerto Rico,San Juan,San Juan
Providence,Rhode Island,Providence,Rhode Island,Providence,Providence County
Columbia,South Carolina,Columbia,South Carolina,Richland,Richland County
Sioux Falls,South Dakota,Sioux Falls,South Dakota,Minnehaha,Minnehaha County
Nashville,Tennessee,Nashville-Davidson,Tennessee,Davidson,Davidson County
Houston,Texas,Houston,Texas,Harris,Harris County
Salt Lake City,Utah,Salt Lake City,Utah,Salt Lake,Salt Lake County
Burlington,Vermont,Burlington,Vermont,Chittenden,Chittenden County
Virginia Beach, Virginia,Virginia Beach,Virginia,,
Seattle,Washington,Seattle,Washington,King,King County
Charleston,West Virginia,Charleston,West Virginia,Kanawha,Kanawha County
Milwaukee,Wisconsin,Milwaukee,Wisconsin,Milwaukee,Milwaukee County
Cheyenne,Wyoming,Cheyenne,Wyoming,Laramie,Laramie County
